"localidad","barrio","precio","habitaciones","area (m2)"
"barrios unidos","el rosario","1199999","2","48"
"barrios unidos","estoril","2862000","4","155"
"barrios unidos","san felipe","1100000","1","31"
"barrios unidos","simon bolivar","870000","1","35"
"barrios unidos","lago gaitan","2000000","1","737"
"barrios unidos","alcazares","1300000","1","40"
"barrios unidos","juanxxIII","1400000","2","70"
"barrios unidos","juanxxIII","1350000","2","80"
"barrios unidos","juanxxIII","1400000","2","71"
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
"barrios unidos","","","",""
