localidad;barrio;precio;habitaciones;area (m2)
engativa ;alamos norte ;900000;2;35.5
engativa;Garces Navas;900000;2;88
engativa;Los Angele;1200000;3;98.8
engativa;villa amalia;900000;2;50
engativa;el dorado;1200000;3;62
engativa;villas de granada;1067500;3;60
engativa;el dorado;1250000;4;66
engativa;el cedro;950000;2;40
engativa;centro engativa;774000;3;45
engativa;los angeles;980000;3;63
engativa;villas de granada ;850000;3;52
engativa;san juaquin;1550000;2;58
engativa;los cerezos;700000;2;45
engativa;villas dorado;850000;3;55
engativa;villas del madrigal;1000000;3;60
engativa;metropolis;1650000;3;105
engativa;florencia;650000;2;45
engativa;garces navas;600000;4;65
engativa;garces navas;750000;3;52
engativa;bonanza;1076000;2;60
engativa;florencia;1100000;3;65
engativa;la estrada;1500000;3;70
engativa;centro engativa;732500;3;41
engativa;san basilio;700000;3;65
engativa;el palmar;720000;3;50
engativa;boyaca;620000;2;35
engativa;bonanza;570000;1;32
engativa;el cortijo;1190000;3;67
engativa;gran granada;1052500;4;69
engativa;villas de granada;1121632;3;65
engativa;el dorado;950000;3;58
engativa;bonanza;1400000;4;125
engativa;el dorado;480000;1;12
engativa;florida blanca;900000;3;90
engativa;santa helenita;950000;2;40
engativa;azafranes;650000;1;54
engativa;villa amalia;800000;2;45
engativa;bonanza;950000;2;40
engativa;villas de granada ;1100000;2;67
engativa;paris;1100000;2;75
engativa;florida blanca;1075900;3;72
engativa;la isabela;920000;3;57
engativa;florencia;650000;1;45
engativa;sen juaquin;1100000;3;50
engativa;puerto amor;1000000;3;67
engativa;gran granada;1000000;4;75.82
engativa;santa monica;850000;1;42
engativa;villas del madrigal;1050000;3;75
engativa;bosque popular;900000;2;50
