localidad;barrio;precio;habitaciones;area (m2)
suba;subaurbano;1200000;3;68
suba;club los lagartos;5000000;3;200
suba;atardeceres de suba;1000000;2;47
suba;puerta del sol;775000;2;42
suba;tibabuyes;1124000;3;71
suba;almendros;780000;3;46
suba;villa elisa;1750000;3;59
suba;suba urbano;1100000;1;41
suba;altos de suba;800000;3;58
suba;bilbao;800000;3;56
suba;tibabuyes;1000000;3;60
suba;suba urbano;1200000;3;70
suba;las flores ;1200000;2;50
suba;tibabuyes;1400000;3;59
suba;santa helena;2837000;3;132
suba;turinguia;887000;3;59
suba;casa blanca;1355000;3;82
suba;turinguia;1050000;3;68
suba;nisa ;3000000;3;140
suba;tuna alta;707000;2;42
suba;las flores ;830000;3;85
suba;nisa ;2216000;3;168
suba;suba urbano;1180000;2;55
suba;suba urbano;1200000;3;55
suba;suba urbano;1350000;3;68
suba;suba compartir;850000;3;50
suba;club los lagartos ;820000;3;45
suba;almendros;734000;3;50
suba;suba urbano;809000;2;70
suba;nisa ;12000000;4;273
suba;tibabuyes;860000;2;54
suba;la campiña;1200000;2;60
suba;casa blanca;2100000;3;86
suba;san alfonso;5900000;3;130
suba;la conejera;798300;3;54
suba;tibabuyes;802800;2;38
suba;lombardia;800000;3;50
suba;club los lagartos;6200000;4;325
suba;tibabuyes;640700;3;45
suba;villa maria;750000;2;50
suba;nisa ;4696800;4;200
suba;nuevo suva;1150000;3;65
suba;nisa ;500000;1;25
suba;san alfonso;5200000;4;196
suba;bosques de san jorge ;1180000;3;75
suba;puerta del sol;770700;2;46
suba;pinar de suba;700000;1;39
suba;rodesia;730000;2;43
suba;naranjos;4558000;4;487
suba;costa sur;800000;1;51
