"localidad","barrio","precio","habitaciones","area (m2)"
"fontibon","el tintal","1350000","3","60"
"fontibon","el porvenir","800000","3","70"
"fontibon","guadual","1100000","2","70"
"fontibon","el tintal","1450000","2","57"
"fontibon","la felicidad ","1700000","3","73"
"fontibon","el porvenir","756000","3","51"
"fontibon","villa flor","1600000","1","36"
"fontibon","el tintal","1150000","3","55"
"fontibon","boston","2100000","2","78"
"fontibon","centeario","794800","2","47"
"fontibon","la felicidad ","1350936","3","75"
"fontibon","la felicidad ","968860","3","55"
"fontibon","villemar","920000","3","55"
"fontibon","la felicidad ","1100000","3","60"
"fontibon","el tintal","1300000","3","57"
"fontibon","el porvenir","617000","2","35"
"fontibon","morabia","1200000","2","75"
"fontibon","arabia","800000","3","55"
"fontibon","jerico","750000","3","53"
"fontibon","el tintal","1350000","2","62"
"fontibon","el porvenir","2390000","2","83"
"fontibon","villa alsacia","450000","1","64"
"fontibon","caldas","700000","3","50"
"fontibon","la felicidad ","1582000","3","64"
"fontibon","la giralda","950000","2","50"
"fontibon","aldea","780000","2","69"
"fontibon","giralda","1250000","3","45"
"fontibon","ciudad hayuelos","1500000","3","73"
"fontibon","urbanizacion bengala","1500000","4","205"
"fontibon","villemar","930000","1","35"
"fontibon","el porvenir","830000","3","56"
"fontibon","centro fontibon","750000","3","70"
"fontibon","jerico","850000","3","53"
"fontibon","jerico","850000","3","52"
"fontibon","salamanca","750000","3","50"
"fontibon","la rosita","1000000","3","60"
"fontibon","valparaiso","721000","2","43"
"fontibon","salamanca","750000","3","50"
"fontibon","el tintal","1190000","3","61"
"fontibon","la giralda","1200000","2","45"
"fontibon","altos de san sebastian","4500000","1","210"
"fontibon","cofradia","1250000","3","78"
"fontibon","rio negro","950000","2","53"
"fontibon","atahualpa","900000","3","50"
"fontibon","el rubi","850000","2","60"
"fontibon","bohios","800000","1","45"
"fontibon","el rubi","1050000","2","42"
"fontibon","centro fontibon ","1050000","3","54"
"fontibon","la cabaña","780000","2","60"
"fontibon","la esperanza ","2400000","3","112"
